ID;Autor;Titulo;Categoria_Literaria;Tema_Cientifico;Resumo;Faixa_Etaria;Arquivo_imagem
1;Lucy Hawking;George e o Segredo do Universo;Ficçăo/Aventura;Astronomia;George viaja pelo cosmos com a ajuda de um supercomputador, descobrindo na prática como funcionam os buracos negros e as leis da física que regem os planetas.;Juvenil;george.jpg
2;Lalau;Brasileirinhos do Pantanal;Poesia;Meio Ambiente;Através de rimas lúdicas, o livro apresenta as características únicas dos animais do Pantanal, ensinando sobre ecologia e a importância de preservar nossos biomas.;Infantil;pantanal.jpg
3;Isaac Asimov;Eu, Robô;Ficçăo Científica;Robótica;Em um futuro onde máquinas convivem com humanos, o Dr. Susan Calvin revela como as Tręs Leis da Robótica tentam manter o controle sobre inteligęncias artificiais cada vez mais complexas.;Juvenil;asimov.jpg
4;Carl Sagan;Cosmos;Divulgaçăo Científica;Astronomia;"Uma viagem épica de 14 bilhőes de anos que conecta a origem das estrelas ŕ evoluçăo da vida na Terra, mostrando que somos todos feitos de ""poeira estelar"".";Juvenil;sagan.jpg
5;Stephen Hawking;Uma breve história do tempo;Divulgaçăo Científica;Física;Stephen Hawking explica, de forma genial, desde o Big Bang até os buracos negros, buscando uma teoria única que explique como o universo realmente funciona.;Juvenil;hawking.jpg
6;Margot L Shetterly;Estrelas além do tempo;Biografia/História;Matemática;A história real de tręs matemáticas da NASA que superaram o preconceito para realizar os cálculos complexos que permitiram ao homem orbitar a Terra e chegar ŕ Lua.;Juvenil;estrelas.jpg
7;Richard Dawkins;A Magia da Realidade;Divulgaçăo Científica;Biologia;Richard Dawkins explica fenômenos que parecem mágicos — como os arco-íris e a evoluçăo das espécies — usando a lógica científica para mostrar a beleza do mundo real.;Juvenil;magia.jpg
8;Rachel Carson;Primavera Silenciosa;Divulgaçăo Científica;Ecologia;Um alerta científico corajoso que revelou como o uso indiscriminado de agrotóxicos estava silenciando o canto dos pássaros e desequilibrando a natureza.;Juvenil;ecologia.jpg
9;Primo Levi;A Tabela Periódica;Memórias;Química;Primo Levi entrelaça sua vida como químico e sobrevivente com as propriedades dos elementos, mostrando como o ferro, o ouro e o carbono fazem parte da nossa história.;Juvenil;tabela.jpg
10;Jules Verne;Vinte Mil Léguas Submarinas;Ficçăo Científica;Oceanografia;A bordo do submarino Nautilus, o Capităo Nemo explora as profundezas do oceano, revelando segredos da biologia marinha e de uma tecnologia naval avançada para sua época.;Juvenil;nautilus.jpg
11;Marcelo Gleiser;O despertar do Universo consciente;Literatura Juvenil/Ficçăo;Astronomia;"""O despertar do universo consciente"" é uma obra de Marcelo Gleiser que convoca tanto a sociedade quanto a comunidade científica para refletir sobre o futuro da humanidade. Com 252 páginas, este manifesto acadęmico aborda questőes fundamentais relacionadas ŕ nossa compreensăo do cosmos e ŕ sobrevivęncia do planeta, oferecendo insights relevantes e provocativos.";Juvenil;lua.jpg
12;Orígenes Lessa;Confissőes de um Vira-Lata;Literatura Infantil/Ficçăo;Psicologia/Comportamento Social;Uma narrativa bem-humorada onde um cachorro vira-lata, inteligente e perspicaz, conta suas aventuras e desventuras. Através do seu olhar, o livro avalia e questiona o comportamento dos homens, expondo sentimentos como solidariedade, afeto e as contradiçőes humanas.;Juvenil;viralata.jpg
13;Revista Cięncia Hoje das Crianças;O livro dos porquęs;Literatura Infantil/Curiosidades;Cięncia Geral/Curiosidades;Um guia divertido que responde a perguntas fundamentais das crianças sobre o mundo, como por que o céu é azul, como os aviőes voam ou por que o mar é salgado. O livro transforma a curiosidade natural em aprendizado científico com linguagem simples e clara.;Infantil;porques.jpg
14;Dr. Mike Goldsmith;Inventores e suas ideias brilhantes;Cięncia;Tecnologia;"Este livro da série ""Mortos de Fama"" conta a história de dez inventores geniais, de Arquimedes a Alexander Graham Bell. Com textos divertidos e tiras de quadrinhos, ele explica como foram criadas máquinas voadoras, lâmpadas e até a televisăo, mostrando que a cięncia é cheia de curiosidades e ""invencionices"".";Infantil;invencoes.jpg
15;Kjartan Poskitt;Isaac Newton e sua maçă;Biografia Infantil/História;Física;Uma biografia divertida que conta a história de Isaac Newton, desde quando ele era o último da classe até se tornar um dos maiores gęnios da humanidade. O livro explica de forma simples como ele descobriu a lei da gravidade, inventou o sistema matemático e decompos a luz, tudo com textos bem-humorados e ilustraçőes.;Infantil;newton.jpg
16;Rachel Ignotofsky;As Cientistas: 50 mulheres que mudaram o mundo;Biografia;História;Conheça as histórias de 50 cientistas pioneiras que, mesmo enfrentando barreiras, revolucionaram campos como a medicina, a física e a astronomia.;Juvenil;mulheres.jpg
17;William Kamkwamba;O menino que descobriu o vento;Memórias;Engenharia;A história real de William, que usou livros de física e sucata para construir um moinho de vento, trazendo água e esperança para sua aldeia no Malawi.;Juvenil;vento.jpg
18;Neil deGrasse Tyson;Astrofísica para Apressados;Divulgaçăo Científica;Astrofísica;Neil deGrasse Tyson explica, em doses rápidas, a natureza do espaço-tempo e os mistérios do cosmos para quem tem pressa, mas quer entender o universo.;Juvenil;astrofisica.jpg
19;Marcelo Gleiser;Criaçăo Imperfeita;Divulgaçăo Científica;Cosmologia/Física;Nesta obra, o físico Marcelo Gleiser questiona a ideia de que a natureza é perfeita. Ele explica como o surgimento do universo, da vida e da humanidade năo foi fruto de um plano simétrico, mas sim de imperfeiçőes e acidentes cósmicos que tornam nossa existęncia ainda mais rara e especial. O livro une cięncia de ponta com reflexőes sobre o que significa ser humano em um cosmos vasto e caótico.;Juvenil;criacao.jpg
